#Turn	Emit_x
520	4.267903e-06
521	4.114713e-06
522	4.099121e-06
523	4.281682e-06
524	4.101967e-06
525	4.099685e-06
526	4.242537e-06
527	4.050606e-06
528	4.082515e-06
529	4.167789e-06
530	3.980930e-06
531	4.069537e-06
532	4.088448e-06
533	3.922137e-06
534	4.083812e-06
535	4.033631e-06
536	3.897857e-06
537	4.136274e-06
538	4.017082e-06
539	3.915610e-06
540	4.218827e-06
541	4.032196e-06
542	3.964905e-06
543	4.307023e-06
544	4.057066e-06
545	4.023994e-06
546	4.370659e-06
547	4.066193e-06
548	4.071236e-06
549	4.386946e-06
550	4.042855e-06
551	4.095335e-06
552	4.349960e-06
553	3.986421e-06
554	4.099752e-06
555	4.272268e-06
556	3.911819e-06
557	4.099749e-06
558	4.178626e-06
559	3.842301e-06
560	4.114189e-06
561	4.095372e-06
562	3.799582e-06
563	4.156406e-06
564	4.040584e-06
565	3.795863e-06
566	4.228255e-06
567	4.018875e-06
568	3.830604e-06
569	4.319317e-06
570	4.021965e-06
571	3.892360e-06
572	4.410873e-06
573	4.033690e-06
574	3.964052e-06
575	4.482474e-06
576	4.036812e-06
577	4.029189e-06
578	4.518429e-06
579	4.018948e-06
580	4.076757e-06
581	4.511970e-06
582	3.975839e-06
583	4.103430e-06
584	4.466087e-06
585	3.911392e-06
586	4.112935e-06
587	4.391360e-06
588	3.835234e-06
589	4.113418e-06
590	4.302133e-06
591	3.759144e-06
592	4.114192e-06
593	4.212596e-06
594	3.693776e-06
595	4.123035e-06
596	4.133962e-06
597	3.646555e-06
598	4.144712e-06
599	4.073214e-06
600	3.620961e-06
601	4.180730e-06
602	4.033207e-06
603	3.616914e-06
604	4.229973e-06
605	4.013639e-06
606	3.631786e-06
607	4.289733e-06
608	4.012313e-06
609	3.661560e-06
610	4.356733e-06
611	4.026300e-06
612	3.701837e-06
613	4.427895e-06
614	4.052804e-06
615	3.748550e-06
616	4.500776e-06
617	4.089661e-06
618	3.798361e-06
619	4.573669e-06
620	4.135533e-06
621	3.848787e-06
622	4.645453e-06
623	4.189843e-06
624	3.898134e-06
625	4.715236e-06
626	4.252538e-06
627	3.945278e-06
628	4.781861e-06
629	4.323689e-06
630	3.989332e-06
631	4.843290e-06
632	4.402958e-06
633	4.029224e-06
634	4.895899e-06
635	4.488947e-06
636	4.063203e-06
637	4.933791e-06
638	4.578538e-06
639	4.088434e-06
640	4.948339e-06
641	4.666495e-06
642	4.100996e-06
643	4.928452e-06
644	4.745830e-06
645	4.096958e-06
646	4.862320e-06
647	4.809601e-06
648	4.075376e-06
649	4.741587e-06
650	4.854376e-06
651	4.043702e-06
652	4.568351e-06
653	4.884133e-06
654	4.023892e-06
655	4.363288e-06
656	4.910755e-06
657	4.052810e-06
658	4.168559e-06
659	4.945693e-06
660	4.166537e-06
661	4.033844e-06
662	4.980795e-06
663	4.367604e-06
664	3.980756e-06
665	4.969787e-06
